Shorthand,Platform,Specifier, Context window
gpt_4o,OPENAI,gpt-4o-2024-05-13, 128_000
gpt_4_turbo,OPENAI,gpt-4-0125-preview, 128_000
gpt_4,OPENAI,gpt-4-0613, 8_192
gpt_4_32k,OPENAI,gpt-4-32k-0613, 32_768
gpt_35_turbo,OPENAI,gpt-3.5-turbo-0125, 16_385
gpt_35_turbo_16k,OPENAI,gpt-3.5-turbo-16k-0613, 16_385
claude_3_opus,ANTHROPIC,claude-3-opus-20240229, 200_000
claude_3_sonnet,ANTHROPIC,claude-3-sonnet-20240229, 200_000
claude_3_haiku,ANTHROPIC,claude-3-haiku-20240307, 200_000
claude_21,ANTHROPIC,claude-2.1, 200_000
claude_20,ANTHROPIC,claude-2.0, 100_000
claude_instant,ANTHROPIC,claude-instant-1.2, 100_000
llama3_8b,HUGGINGFACE,meta-llama/Meta-Llama-3-8B-Instruct, 8_000
llama3_70b,HUGGINGFACE,meta-llama/Meta-Llama-3-70B-Instruct, 8_000
mixtral_v0.1,HUGGINGFACE,mistralai/Mixtral-8x7B-Instruct-v0.1, 32_000
